s11yk,id
23,s2566
24,s2567
15,s2568
20,s2569
20,s2570
23,s2571
19,s2572
22,s2573
23,s2574
21,s2575
16,s2576
17,s2577
24,s2578
12,s2579
24,s2580
20,s2581
20,s2582
13,s2583
23,s2584
20,s2585
22,s2586
22,s2587
19,s2588
16,s2589
18,s2590
17,s2591
22,s2592
20,s2593
24,s2594
16,s2595
24,s2596
20,s2597
24,s2598
13,s2599
22,s2600
27,s2601
17,s2602
20,s2603
21,s2604
23,s2605
20,s2606
13,s2607
23,s2608
16,s2609
14,s2610
23,s2611
20,s2612
21,s2613
24,s2614
28,s2615
25,s2616
28,s2617
23,s2618
28,s2619
22,s2620
24,s2621
23,s2622
18,s2623
24,s2624
25,s2625
20,s2626
23,s2627
24,s2628
23,s2629
23,s2630
22,s2631
17,s2632
18,s2633
19,s2634
19,s2635
26,s2636
16,s2637
28,s2638
23,s2639
27,s2640
28,s2641
24,s2642
13,s2643
22,s2644
24,s2645
15,s2646
23,s2647
18,s2648
17,s2649
22,s2650
23,s2651
23,s2652
21,s2653
30,s2654
23,s2655
18,s2656
20,s2657
13,s2658
24,s2659
14,s2660
21,s2661
14,s2662
21,s2663
20,s2664
10,s2665
20,s2666
23,s2667
26,s2668
20,s2669
22,s2670
23,s2671
26,s2672
21,s2673
18,s2674
21,s2675
15,s2676
23,s2677
20,s2678
16,s2679
14,s2680
18,s2681
25,s2682
18,s2683
19,s2684
22,s2685
21,s2686
13,s2687
19,s2688
16,s2689
20,s2690
24,s2691
26,s2692
18,s2693
17,s2694
19,s2695
23,s2696
13,s2697
20,s2698
24,s2699
23,s2700
25,s2701
24,s2702
28,s2703
26,s2704
29,s2705
19,s2706
20,s2707
20,s2708
17,s2709
12,s2710
14,s2711
20,s2712
28,s2713
16,s2714
18,s2715
20,s2716
17,s2717
17,s2718
20,s2719
20,s2720
26,s2721
15,s2722
24,s2723
18,s2724
26,s2725
19,s2726
19,s2727
17,s2728
17,s2729
12,s2730
17,s2731
18,s2732
16,s2733
21,s2734
20,s2735
12,s2736
9,s2737
12,s2738
21,s2739
13,s2740
19,s2741
23,s2742
25,s2743
18,s2744
19,s2745
19,s2746
17,s2747
19,s2748
14,s2749
19,s2750
14,s2751
21,s2752
25,s2753
20,s2754
21,s2755
21,s2756
21,s2757
23,s2758
26,s2759
20,s2760
30,s2761
24,s2762
23,s2763
16,s2764
20,s2765
19,s2766
16,s2767
20,s2768
18,s2769
20,s2770
22,s2771
22,s2772
20,s2773
13,s2774
20,s2775
18,s2776
18,s2777
20,s2778
15,s2779
23,s2780
26,s2781
20,s2782
19,s2783
23,s2784
23,s2785
17,s2786
18,s2787
21,s2788
19,s2789
18,s2790
20,s2791
20,s2792
26,s2793
18,s2794
20,s2795
20,s2796
19,s2797
20,s2798
17,s2799
23,s2800
17,s2801
18,s2802
26,s2803
18,s2804
28,s2805
17,s2806
19,s2807
16,s2808
22,s2809
20,s2810
25,s2811
22,s2812
13,s2813
16,s2814
24,s2815
14,s2816
24,s2817
19,s2818
23,s2819
31,s2820
17,s2821
24,s2822
19,s2823
23,s2824
20,s2825
30,s2826
28,s2827
26,s2828
25,s2829
26,s2830
22,s2831
15,s2832
24,s2833
21,s2834
18,s2835
16,s2836
21,s2837
15,s2838
23,s2839
23,s2840
28,s2841
28,s2842
23,s2843
24,s2844
12,s2845
16,s2846
26,s2847
26,s2848
21,s2849
26,s2850
26,s2851
22,s2852
13,s2853
21,s2854
21,s2855
18,s2856
29,s2857
20,s2858
29,s2859
27,s2860
12,s2861
18,s2862
15,s2863
16,s2864
22,s2865
14,s2866
19,s2867
19,s2868
22,s2869
23,s2870
20,s2871
13,s2872
21,s2873
21,s2874
19,s2875
25,s2876
21,s2877
26,s2878
24,s2879
22,s2880
16,s2881
18,s2882
21,s2883
21,s2884
20,s2885
25,s2886
13,s2887
25,s2888
25,s2889
20,s2890
21,s2891
8,s2892
21,s2893
20,s2894
24,s2895
17,s2896
24,s2897
25,s2898
27,s2899
19,s2900
22,s2901
22,s2902
14,s2903
19,s2904
16,s2905
24,s2906
19,s2907
24,s2908
22,s2909
26,s2910
20,s2911
21,s2912
13,s2913
14,s2914
23,s2915
28,s2916
26,s2917
17,s2918
26,s2919
20,s2920
24,s2921
22,s2922
20,s2923
15,s2924
32,s2925
27,s2926
24,s2927
23,s2928
20,s2929
20,s2930
29,s2931
15,s2932
24,s2933
18,s2934
21,s2935
20,s2936
18,s2937
17,s2938
11,s2939
23,s2940
18,s2941
26,s2942
26,s2943
16,s2944
21,s2945
10,s2946
14,s2947
24,s2948
21,s2949
16,s2950
28,s2951
22,s2952
19,s2953
24,s2954
14,s2955
22,s2956
28,s2957
20,s2958
8,s2959
22,s2960
19,s2961
24,s2962
24,s2963
19,s2964
25,s2965
29,s2966
21,s2967
26,s2968
25,s2969
16,s2970
27,s2971
24,s2972
29,s2973
24,s2974
18,s2975
20,s2976
21,s2977
22,s2978
25,s2979
23,s2980
23,s2981
20,s2982
17,s2983
15,s2984
27,s2985
26,s2986
33,s2987
20,s2988
25,s2989
26,s2990
23,s2991
24,s2992
19,s2993
23,s2994
32,s2995
20,s2996
14,s2997
22,s2998
15,s2999
21,s3000
27,s3001
18,s3002
25,s3003
20,s3004
12,s3005
19,s3006
14,s3007
23,s3008
21,s3009
21,s3010
20,s3011
24,s3012
22,s3013
14,s3014
22,s3015
23,s3016
19,s3017
24,s3018
22,s3019
24,s3020
32,s3021
33,s3022
11,s3023
26,s3024
20,s3025
24,s3026
15,s3027
20,s3028
21,s3029
20,s3030
25,s3031
22,s3032
16,s3033
27,s3034
19,s3035
20,s3036
22,s3037
22,s3038
20,s3039
20,s3040
30,s3041
23,s3042
22,s3043
30,s3044
25,s3045
17,s3046
18,s3047
19,s3048
22,s3049
8,s3050
21,s3051
28,s3052
18,s3053
29,s3054
33,s3055
33,s3056
23,s3057
14,s3058
25,s3059
13,s3060
20,s3061
20,s3062
22,s3063
24,s3064
29,s3065
27,s3066
24,s3067
12,s3068
27,s3069
21,s3070
23,s3071
26,s3072
26,s3073
22,s3074
29,s3075
21,s3076
26,s3077
20,s3078
25,s3079
29,s3080
14,s3081
34,s3082
23,s3083
22,s3084
26,s3085
23,s3086
25,s3087
22,s3088
25,s3089
22,s3090
21,s3091
21,s3092
19,s3093
10,s3094
26,s3095
27,s3096
25,s3097
15,s3098
22,s3099
19,s3100
18,s3101
15,s3102
19,s3103
24,s3104
27,s3105
32,s3106
24,s3107
16,s3108
20,s3109
13,s3110
23,s3111
21,s3112
25,s3113
15,s3114
26,s3115
30,s3116
26,s3117
30,s3118
30,s3119
23,s3120
20,s3121
20,s3122
20,s3123
28,s3124
25,s3125
26,s3126
16,s3127
22,s3128
26,s3129
24,s3130
21,s3131
25,s3132
25,s3133
28,s3134
22,s3135
23,s3136
29,s3137
24,s3138
25,s3139
23,s3140
21,s3141
20,s3142
19,s3143
28,s3144
19,s3145
21,s3146
24,s3147
20,s3148
21,s3149
21,s3150
27,s3151
20,s3152
28,s3153
22,s3154
28,s3155
24,s3156
21,s3157
20,s3158
22,s3159
28,s3160
21,s3161
21,s3162
23,s3163
19,s3164
25,s3165
33,s3166
38,s3167
14,s3168
20,s3169
23,s3170
18,s3171
22,s3172
19,s3173
16,s3174
23,s3175
24,s3176
26,s3177
20,s3178
13,s3179
21,s3180
23,s3181
21,s3182
23,s3183
20,s3184
24,s3185
22,s3186
24,s3187
23,s3188
22,s3189
22,s3190
30,s3191
26,s3192
24,s3193
24,s3194
25,s3195
23,s3196
25,s3197
17,s3198
22,s3199
26,s3200
20,s3201
26,s3202
12,s3203
29,s3204
24,s3205
24,s3206
23,s3207
25,s3208
25,s3209
22,s3210
23,s3211
18,s3212
26,s3213
21,s3214
20,s3215
26,s3216
30,s3217
25,s3218
25,s3219
24,s3220
20,s3221
34,s3222
20,s3223
20,s3224
23,s3225
16,s3226
18,s3227
23,s3228
24,s3229
20,s3230
22,s3231
25,s3232
25,s3233
9,s3234
28,s3235
25,s3236
23,s3237
19,s3238
22,s3239
22,s3240
19,s3241
13,s3242
29,s3243
15,s3244
26,s3245
24,s3246
20,s3247
28,s3248
23,s3249
23,s3250
20,s3251
10,s3252
15,s3253
33,s3254
34,s3255
27,s3256
28,s3257
22,s3258
28,s3259
22,s3260
27,s3261
25,s3262
25,s3263
17,s3264
27,s3265
25,s3266
25,s3267
25,s3268
7,s3269
23,s3270
26,s3271
27,s3272
11,s3273
26,s3274
19,s3275
26,s3276
23,s3277
24,s3278
21,s3279
20,s3280
19,s3281
17,s3282
12,s3283
20,s3284
25,s3285
17,s3286
22,s3287
14,s3288
18,s3289
19,s3290
26,s3291
20,s3292
28,s3293
22,s3294
25,s3295
26,s3296
20,s3297
29,s3298
26,s3299
25,s3300
21,s3301
20,s3302
23,s3303
23,s3304
12,s3305
22,s3306
23,s3307
25,s3308
20,s3309
28,s3310
25,s3311
27,s3312
23,s3313
20,s3314
27,s3315
25,s3316
23,s3317
15,s3318
18,s3319
21,s3320
16,s3321
20,s3322
18,s3323
23,s3324
23,s3325
20,s3326
20,s3327
27,s3328
25,s3329
28,s3330
11,s3331
20,s3332
18,s3333
19,s3334
20,s3335
20,s3336
20,s3337
22,s3338
21,s3339
18,s3340
21,s3341
21,s3342
20,s3343
21,s3344
22,s3345
19,s3346
23,s3347
20,s3348
19,s3349
27,s3350
25,s3351
14,s3352
22,s3353
26,s3354
23,s3355
26,s3356
25,s3357
22,s3358
24,s3359
22,s3360
22,s3361
21,s3362
22,s3363
21,s3364
29,s3365
22,s3366
24,s3367
25,s3368
19,s3369
30,s3370
23,s3371
23,s3372
17,s3373
23,s3374
22,s3375
20,s3376
22,s3377
20,s3378
21,s3379
18,s3380
18,s3381
22,s3382
18,s3383
20,s3384
26,s3385
15,s3386
20,s3387
21,s3388
22,s3389
20,s3390
18,s3391
17,s3392
19,s3393
21,s3394
20,s3395
29,s3396
27,s3397
21,s3398
21,s3399
12,s3400
22,s3401
27,s3402
18,s3403
17,s3404
19,s3405
19,s3406
14,s3407
24,s3408
24,s3409
23,s3410
23,s3411
24,s3412
12,s3413
17,s3414
22,s3415
21,s3416
23,s3417
19,s3418
21,s3419
20,s3420
26,s3421
23,s3422
22,s3423
17,s3424
26,s3425
16,s3426
13,s3427
18,s3428
16,s3429
24,s3430
26,s3431
25,s3432
18,s3433
20,s3434
23,s3435
26,s3436
27,s3437
25,s3438
18,s3439
30,s3440
26,s3441
22,s3442
22,s3443
25,s3444
15,s3445
23,s3446
19,s3447
22,s3448
22,s3449
19,s3450
20,s3451
35,s3452
22,s3453
16,s3454
27,s3455
32,s3456
31,s3457
27,s3458
37,s3459
29,s3460
25,s3461
21,s3462
17,s3463
25,s3464
33,s3465
28,s3466
20,s3467
17,s3468
22,s3469
17,s3470
30,s3471
28,s3472
24,s3473
24,s3474
30,s3475
33,s3476
28,s3477
24,s3478
24,s3479
30,s3480
17,s3481
15,s3482
21,s3483
21,s3484
32,s3485
21,s3486
25,s3487
24,s3488
23,s3489
30,s3490
20,s3491
17,s3492
18,s3493
15,s3494
26,s3495
26,s3496
26,s3497
23,s3498
27,s3499
26,s3500
15,s3501
15,s3502
13,s3503
18,s3504
20,s3505
31,s3506
16,s3507
23,s3508
24,s3509
27,s3510
26,s3511
16,s3512
26,s3513
31,s3514
24,s3515
18,s3516
14,s3517
21,s3518
20,s3519
30,s3520
15,s3521
21,s3522
25,s3523
24,s3524
43,s3525
30,s3526
21,s3527
28,s3528
20,s3529
24,s3530
19,s3531
17,s3532
20,s3533
30,s3534
14,s3535
33,s3536
24,s3537
24,s3538
20,s3539
25,s3540
31,s3541
23,s3542
25,s3543
29,s3544
28,s3545
24,s3546
22,s3547
12,s3548
30,s3549
20,s3550
22,s3551
21,s3552
24,s3553
13,s3554
16,s3555
25,s3556
20,s3557
28,s3558
20,s3559
19,s3560
18,s3561
24,s3562
27,s3563
21,s3564
23,s3565
19,s3566
20,s3567
18,s3568
21,s3569
22,s3570
28,s3571
23,s3572
21,s3573
26,s3574
28,s3575
20,s3576
25,s3577
19,s3578
23,s3579
26,s3580
29,s3581
25,s3582
23,s3583
30,s3584
31,s3585
22,s3586
23,s3587
23,s3588
46,s3589
24,s3590
24,s3591
16,s3592
24,s3593
22,s3594
25,s3595
22,s3596
21,s3597
23,s3598
17,s3599
21,s3600
22,s3601
21,s3602
22,s3603
16,s3604
27,s3605
19,s3606
22,s3607
19,s3608
18,s3609
23,s3610
11,s3611
21,s3612
23,s3613
19,s3614
25,s3615
25,s3616
20,s3617
20,s3618
22,s3619
27,s3620
24,s3621
25,s3622
24,s3623
25,s3624
26,s3625
23,s3626
22,s3627
21,s3628
21,s3629
19,s3630
21,s3631
23,s3632
23,s3633
