s11zg,id
130,s2566
145,s2567
130,s2568
140,s2569
145,s2570
135,s2571
115,s2572
140,s2573
120,s2574
130,s2575
110,s2576
120,s2577
125,s2578
130,s2579
135,s2580
135,s2581
130,s2582
120,s2583
135,s2584
135,s2585
135,s2586
135,s2587
140,s2588
135,s2589
125,s2590
115,s2591
130,s2592
130,s2593
130,s2594
135,s2595
130,s2596
130,s2597
150,s2598
115,s2599
145,s2600
130,s2601
125,s2602
65,s2603
135,s2604
140,s2605
120,s2606
95,s2607
125,s2608
120,s2609
120,s2610
130,s2611
120,s2612
150,s2613
120,s2614
125,s2615
135,s2616
140,s2617
140,s2618
150,s2619
120,s2620
120,s2621
135,s2622
135,s2623
120,s2624
125,s2625
120,s2626
135,s2627
135,s2628
135,s2629
135,s2630
150,s2631
130,s2632
135,s2633
135,s2634
130,s2635
125,s2636
115,s2637
130,s2638
140,s2639
150,s2640
130,s2641
130,s2642
120,s2643
130,s2644
115,s2645
120,s2646
125,s2647
140,s2648
135,s2649
135,s2650
125,s2651
130,s2652
120,s2653
145,s2654
120,s2655
125,s2656
115,s2657
110,s2658
130,s2659
120,s2660
120,s2661
105,s2662
110,s2663
120,s2664
100,s2665
125,s2666
123,s2667
126,s2668
115,s2669
130,s2670
137,s2671
130,s2672
110,s2673
100,s2674
130,s2675
115,s2676
130,s2677
130,s2678
140,s2679
95,s2680
130,s2681
150,s2682
120,s2683
125,s2684
135,s2685
130,s2686
100,s2687
100,s2688
105,s2689
140,s2690
130,s2691
145,s2692
130,s2693
115,s2694
130,s2695
140,s2696
115,s2697
150,s2698
140,s2699
145,s2700
150,s2701
145,s2702
140,s2703
150,s2704
145,s2705
140,s2706
140,s2707
140,s2708
125,s2709
90,s2710
115,s2711
140,s2712
135,s2713
130,s2714
145,s2715
135,s2716
145,s2717
140,s2718
140,s2719
145,s2720
150,s2721
125,s2722
150,s2723
140,s2724
140,s2725
145,s2726
130,s2727
130,s2728
130,s2729
90,s2730
125,s2731
145,s2732
130,s2733
140,s2734
145,s2735
105,s2736
90,s2737
120,s2738
130,s2739
120,s2740
140,s2741
150,s2742
150,s2743
144,s2744
140,s2745
135,s2746
132,s2747
130,s2748
110,s2749
130,s2750
120,s2751
145,s2752
145,s2753
140,s2754
150,s2755
140,s2756
135,s2757
140,s2758
150,s2759
135,s2760
135,s2761
145,s2762
120,s2763
135,s2764
145,s2765
130,s2766
120,s2767
150,s2768
135,s2769
145,s2770
145,s2771
130,s2772
130,s2773
103,s2774
127,s2775
140,s2776
135,s2777
135,s2778
110,s2779
130,s2780
145,s2781
135,s2782
135,s2783
120,s2784
145,s2785
125,s2786
126,s2787
120,s2788
125,s2789
115,s2790
